ID;Verein;Position;Elo;EAR-180;Elo-Rang;Elo-ID;Elo-Name
pl-k00074305;Neuseeland;DEFENDER;1280.0;-0.49;5632;94346;T. Payne
pl-k00074369;Marokko;GOALKEEPER;2085.7;-0.24;99;2701;Y. Bounou
pl-k00074841;Kolumbien;MIDFIELDER;1088.5;0.0;7546;52585;Juan Diego Giraldo Quintero
pl-k00074928;England;GOALKEEPER;2021.0;-0.24;215;2932;J. Pickford
pl-k00074936;Brasilien;DEFENDER;2062.3;1.9;133;257;Marquinhos
pl-k00074991;Argentinien;GOALKEEPER;2144.6;1.92;46;19599;E. Martínez
pl-k00075008;Niederlande;MIDFIELDER;1855.9;2.55;707;30432;M. de Roon
pl-k00075023;Portugal;DEFENDER;2049.4;1.64;150;855;João Cancelo
pl-k00075027;Schweiz;GOALKEEPER;1737.1;0.48;1360;1142;Y. Mvogo
pl-k00075068;Katar;DEFENDER;1408.8;0.48;4345;42288;Lucas Mendes
pl-k00075076;Senegal;DEFENDER;2034.9;2.39;178;318;K. Koulibaly
pl-k00075102;Kap Verde;FORWARD;1288.1;-2.17;5551;50270;Ryan Mendes
pl-k00075261;Bosnien-Herzegowina;FORWARD;1559.8;-0.52;2853;28382;H. Tabaković
pl-k00075379;Schweiz;DEFENDER;1764.2;-0.49;1182;48378;S. Widmer
pl-k00075584;Frankreich;MIDFIELDER;1836.1;2.34;808;272;A. Rabiot
pl-k00075612;Bosnien-Herzegowina;MIDFIELDER;1536.2;-1.72;3083;25129;D. Burnić
pl-k00075628;Türkei;MIDFIELDER;792.0;;10502;385761;B. Salih
pl-k00075738;Australien;DEFENDER;1458.1;0.95;3854;225;A. Behich
pl-k00075849;Spanien;DEFENDER;1890.0;0.19;577;622;Aymeric Laporte
pl-k00075878;Australien;GOALKEEPER;1906.3;1.92;516;2741;M. Ryan
pl-k00075957;Ägypten;DEFENDER;1591.9;1.2;2553;16805;Rami Rabia
pl-k00075963;Ägypten;MIDFIELDER;1519.5;-0.72;3245;2664;Trézéguet
pl-k00075982;Curacao;DEFENDER;1642.0;0.2;2089;706;J. Brenet
pl-k00076167;DR Kongo;DEFENDER;1802.2;1.44;966;375;C. Mbemba
pl-k00076249;Kap Verde;GOALKEEPER;1308.2;0.0;5350;15304;Vózinha
pl-k00076421;Österreich;DEFENDER;1760.8;0.69;1202;25915;P. Mwene
pl-k00076459;England;DEFENDER;1995.4;0.48;263;626;J. Stones
pl-k00076681;Ghana;MIDFIELDER;1712.0;-0.49;1529;82090;B. Thomas-Asante
pl-k00077108;Brasilien;MIDFIELDER;1963.0;2.39;350;299;Fabinho
pl-k00077358;Norwegen;GOALKEEPER;1860.8;-0.24;682;19172;Ø. Nyland
pl-k00077564;Uruguay;DEFENDER;1835.7;1.64;811;1290;G. Varela
pl-k00077709;Norwegen;MIDFIELDER;1272.3;-0.02;5708;108490;Kristian Fredrik Malt Arnstad
pl-k00078155;Curacao;MIDFIELDER;1357.5;-1.45;4858;18997;L. Bacuna
pl-k00078170;Curacao;GOALKEEPER;1505.0;0.0;3389;221;E. Room
pl-k00078181;Frankreich;GOALKEEPER;1919.5;0.96;459;21628;B. Samba
pl-k00078230;Niederlande;DEFENDER;1953.6;4.29;371;290;V. van Dijk
pl-k00078543;Kanada;MIDFIELDER;1441.2;0.47;4022;50817;J. Osorio
pl-k00078573;Kolumbien;DEFENDER;1719.0;-0.99;1481;64268;J. Mojica
pl-k00078750;Portugal;MIDFIELDER;2097.9;4.54;85;1485;Bruno Fernandes
pl-k00079032;Australien;FORWARD;1420.9;0.72;4225;6993;M. Duke
pl-k00079078;Bosnien-Herzegowina;GOALKEEPER;1617.2;0.96;2316;9026;N. Vasilj
pl-k00079176;Türkei;MIDFIELDER;658.8;;11789;287243;K. Atakan
pl-k00079478;Uruguay;DEFENDER;1867.5;0.95;653;31;J. Giménez
pl-k00079504;Österreich;MIDFIELDER;1664.3;0.93;1907;719;F. Grillitsch
pl-k00079536;Australien;MIDFIELDER;1367.0;0.22;4763;38123;A. Hrustić
pl-k00079543;Deutschland;MIDFIELDER;1795.5;0.44;1006;644;L. Sané
pl-k00080083;Deutschland;MIDFIELDER;1693.2;1.92;1681;714;N. Amiri
pl-k00080174;Deutschland;DEFENDER;2032.2;2.39;183;25368;W. Anton
pl-k00080229;Paraguay;FORWARD;1692.3;-1.2;1687;2522;A. Sanabria
pl-k00080522;Paraguay;DEFENDER;1899.4;1.4;543;2502;G. Gómez
pl-k00080587;Iran;FORWARD;1537.1;-3.12;3074;37892;D. Eckert Ayensa
pl-k00080630;Brasilien;DEFENDER;1773.5;1.67;1133;24866;Douglas Santos
pl-k00080786;Belgien;MIDFIELDER;2203.8;4.29;21;2926;Y. Tielemans
pl-k00081053;Tschechien;DEFENDER;1798.6;1.65;988;1231;V. Coufal
pl-k00081250;Belgien;DEFENDER;1916.9;3.79;468;69;B. Mechele
pl-k00081292;Kolumbien;FORWARD;1747.3;0.95;1293;24810;J. Córdoba
pl-k00081362;Kroatien;MIDFIELDER;1800.4;0.22;975;2763;M. Pašalić
pl-k00081442;Senegal;GOALKEEPER;1530.3;0.48;3140;119853;M. Diaw
pl-k00081465;Spanien;DEFENDER;1910.3;3.55;492;563;Álex Grimaldo
pl-k00081503;DR Kongo;MIDFIELDER;1573.1;-0.01;2728;8627;T. Bongonda
pl-k00081538;Elfenbeinküste;MIDFIELDER;1563.4;-0.01;2819;3243;J. Seri
pl-k00081694;Kroatien;DEFENDER;1782.8;0.89;1076;1084;M. Pongračić
pl-k00081971;Australien;MIDFIELDER;1643.5;0.67;2077;2749;J. Irvine
pl-k00082152;Frankreich;DEFENDER;2107.4;2.62;73;33;L. Hernández
pl-k00082469;Belgien;DEFENDER;1886.6;1.17;588;2920;T. Castagne
pl-k00082709;Kap Verde;FORWARD;1459.6;0.23;3839;44612;Garry Rodrigues
