ID;Verein;Position;Elo;Elo-Stärke;exp_games;Erwartete Spiele (Elo);exp_gd;Erwartete Tordifferenz (Elo)
pl-k00091409;Frankreich;FORWARD;2014.1;0.8935;6.141;5.4872;7.58;6.7729
pl-k00091463;Schottland;MIDFIELDER;1969.7;0.9079;4.12;3.7404;-0.984;-0.8933
pl-k00091537;Frankreich;DEFENDER;2197.6;0.9749;6.141;5.9871;7.58;7.39
pl-k00091555;Schweiz;DEFENDER;1641.6;0.7917;5.181;4.102;4.737;3.7505
pl-k00091959;Bosnien-Herzegowina;MIDFIELDER;1709.1;0.9283;3.738;3.4698;-2.61;-2.4227
pl-k00092246;Frankreich;DEFENDER;738.6;0.3277;6.141;2.0122;7.58;2.4837
pl-k00092347;Kanada;GOALKEEPER;1586.0;0.7807;4.653;3.6328;1.822;1.4225
pl-k00092690;Schweiz;FORWARD;1553.9;0.7494;5.181;3.8829;4.737;3.5501
pl-k00093122;Portugal;DEFENDER;2125.6;0.9065;5.302;4.8061;3.99;3.6168
pl-k00093334;DR Kongo;DEFENDER;1784.6;0.8609;3.371;2.9022;-4.126;-3.5522
pl-k00093378;Kap Verde;DEFENDER;1337.2;0.6809;3.272;2.2279;-5.876;-4.0009
pl-k00093439;Portugal;GOALKEEPER;2020.3;0.8616;5.302;4.5681;3.99;3.4377
pl-k00093477;Schottland;MIDFIELDER;2169.6;1.0;4.12;4.12;-0.984;-0.984
pl-k00093739;USA;FORWARD;1760.6;0.8381;3.74;3.1344;-2.316;-1.941
